№,Дисциплина,"SS1 Способен осуществлять свою трудовую деятельность с учетом определения  корректной роли ИИ  в различных процессах, критического анализа последствий применения ИИ-технологий, этических принципов",,SS2 Способен осуществлять свою трудовую деятельность с учётом необходимости эффективной коммуникации и взаимодействия в рамках коллективной проектной работы в сфере ИИ,,SS3 Способен осуществлять свою трудовую функцию с учетом  неопределенности как сущностной черты функционирования искусственного интеллекта ,,,MF-1 Способен применять современную теоретическую математику для разработки новых алгоритмов и формулирования перспективных задач ИИ,,"MF-2 Способен применять байесовский подход для построения вероятностных моделей, анализа неопределенности и создания адаптивных систем ИИ",,"BD-1 Способен осуществлять поиск, сбор, очистку и предварительный анализ данных ",,,,"BD-2 Способен определять требования к наборам данных для решения задач машинного обучения, проводить разметку и анализ наборов данных, оценивать качество данных, обеспечивать непрерывную интеграцию данных",,"BD-3 Способен организовывать хранение данных, выбирая адекватные технологические решения",,BD-4 Способен применять различные модели и (или) технологии обработки данных,,BD-5 Способен применять технологии организации инфраструктуры БД,,ML-2 Способен применять фундаментальные принципы и методы машинного обучения включая подготовку данных оценку качества моделей и работу с признаками,,,ML-3 Способен применять классические алгоритмы машинного обучения с пониманием их математических основ и областей применения,,DL-1 Способен применять и (или) разрабатывать архитектуры глубоких нейронных сетей,,,,PL-1 Способен применять язык программирования Python для решения задач в области ИИ,,,,PL-2 Способен применять JVM-совместимые языки программирования для решения задач в области ИИ,,PL-3 Способен применять языки программирования С/С++ для решения задач в области ИИ,,,LC-3 Способен проектировать и поддерживать архитектуру систем искусственного интеллекта,LC-4 Способен управлять процессом жизненного цикла ИИ-продукта,"LC-5 Способен применять и (или) проектировать различные инструменты и инженерные практики промышленной разработки систем ИИ, развертывания и сопровождения моделей машинного обучения в продуктивной среде","AI S -1 Способен управлять рисками в разработке систем ИИ, выстраивать управление безопасностью ИИ в компании с учетом этики ИИ",,"LLM-5 Организует взаимодействие с генеративными моделями через проектирование, анализ и применение промптов",,,,,,"FC-1 Способен проводить фронтирные исследования в области архитектур, алгоритмов МО, оптимизации и математики",,FC4 Способен проводить фронтирные исследования в области элементов сильного ИИ,
,,"SS1.1 Определяет ценностные предпосылки, когнитивные искажения, культурно-обусловленные предвзятости в данных, алгоритмах, постановке задач для ИИ","SS1.2 Применяет методики работы с этическими и социальными рисками, возникающими на разных стадиях жизненного цикла ИИ","SS2.1 Эффективно коммуницирует с участниками проектной команды при планировании, реализации и анализе результатов работы",SS2.2 Учитывает профессиональные и ролевые особенности коллег при совместной разработке технических решений и представлении результатов,"SS3.1 Учитывает в работе когнитивные искажения человека и выявляет предвзятости систем ИИ, аргументированно оценивает надежность данных и выдачи ИИ","SS3.2 Определяет релевантность применения ИИ для решения конкретных задач, анализирует поведение ИИ в техническом, социальном и правовом контекстах,  переносит идеи и методы за пределы исходной предметной области","SS3.3 Осуществляет метарефлексию при анализе систем и принятии решений, предсказывает возможные эффекты от внедрения ИИ через несколько уровней влияния, переосмысляет ИИ в своей профессиональной роли и в обществе","MF-1.2. Применяет аппарат теории вероятностей, матстатистики и теории информации для формулирования и анализа задач искусственного интеллекта",MF-1.3 Применяет аппарат теории вероятностей для исследования методов и моделей машинного обучения,"MF-2.1 Использует теорему Байеса и её следствия, понимает отличия байесовской статистики от частотного подхода",MF-2.2 Применяет байесовские методы оценивания и байесовские интервалы для решения задач статистики и построения моделей.,"BD-1.1 Обосновывает способы и варианты применения методов предварительного анализа данных в задачах ИИ, включая их математическое (алгоритмическое) преобразование и адаптацию к специфике задачи",BD-1.2 Применяет методы анализа данных для проверки разведочных гипотез и подготовки данных к применению современных методов ИИ,BD-1.3 Применяет методы понижения размерности для первичной интерпретации и визуализации многомерных данных,"BD-1.4 Отбирает признаки данных, значимые для исследования","BD-2.1 Работает с данными, в том числе собирает данные из разрозненных источников, проверяет данные на корректность",BD-2.2 Применяет инструменты и практики непрерывной интеграции данных (DataOps),"BD-3.1 Разрабатывает, отлаживает и тестирует прикладные решения с элементами ИИ с примением различных технологий хранения структурированных данных, оценивает качество","BD-3.2 Разрабатывает, отлаживает и тестирует прикладные решения с элементами ИИ с примением различных технологий хранения неструктурированных данных, оценивает качество","BD-4.1 Осуществляет выбор технологий обработки больших данных, приемлемых для  создания прикладной системы ИИ с заданными требованиями",BD-4.2 Разрабатывает и отлаживает прикладные решения с элементами ИИ с примением различных технологий обработки данных,BD-5.1 Осуществляет выбор направления вспомогательных технологических решений для формирования единого стека работы с большими данными для решения поставленной задачи,BD-5.2 Разрабатывает и отлаживает прикладные решения с элементами ИИ с примением различных технологий организации инфраструктуры БД,ML-2.1 Различает основные типы задач машинного обучения и применяет на практике принципы их решения,ML-2.2 Применяет методы предварительной обработки данных и работы с признаками,ML-2.3 Решает проблемы несбалансированных данных и оценивает качество моделей,"ML-3.1 Обосновывает способы и варианты применения классических методов и моделей машинного обучения в задачах ИИ, включая их математическое (алгоритмическое) преобразование и адаптацию к специфике задачи",ML-3.2 Эффективно применяет классические методы и модели машинного обучения для обеспечения достижимости функциональных характеристик систем ИИ,"D-1.2 Способен реализовывать неглубокие нейронные сети (перцептроны, MLP), выбирать количество и размер слоёв, подходящие функции активации и функции потерь для решения задач классификации и регрессии","DL-1.3 Способен применять современные архитектуры глубоких сетей для решения различных задач, понимая их внутреннюю структуру и особенности обучения","DL-1.6 Способен разрабатывать, адаптировать и внедрять генеративные нейронные сети для решения практических задач, включая создание новых архитектур, оптимизацию обучения и промышленное развертывание моделей","DL-1.12 Способен применять, адаптировать и разрабатывать методы дообучения нейронных сетей для эффективной адаптации моделей к новым задачам и доменам","PL-1.1 Разрабатывает и отлаживает прикладные решения разной сложности и для разного круга конечных пользователей с использованием языка программирования Python, тестирует, испытывает и оценивает качество таких решений","PL-1.2 Осуществляет выбор инструментов разработки на Python, приемлимых для создания прикладной системы обработки научных данных, машинного обучения и визуализации с заданными требованиями",PL-1.3 Разрабатывает и поддерживает системы обработки больших данных различной степени сложности,PL-1.4 Проектирует системы распределённых вычислений на Python для эффективной обработки большого количества задач,"PL-2.1 Разрабатывает и отлаживает прикладные решения разного уровня сложности и для широкого круга конечных пользователей с использованием JVM-совместимых языков программирования, тестирует, испытывает и оценивает качество таких решений
",PL-2.2 Разрабатывает и поддерживает системы обработки больших данных различной степени сложности,"PL-3.1 Разрабатывает и отлаживает эффективные многопоточные решения на C++, тестирует, испытывает и оценивает качество таких решений
","PL-3.2 Разрабатывает и отлаживает системы ИИ на C++ под конкретные аппаратные платформы с ограничениями по вычислительной мощности, в том числе для встроенных систем","PL-3.3 Разрабатывает и отлаживает решения на C++, использующие GPU и FPGA для массовой параллелизации вычислений в рамках общей системы ИИ, с применением как готовых решений, так и разработкой своих",LC-3.1 Создает и развивает архитектуры системы ИИ на всех этапах жизненного цикла,"LC-4.1 Осуществляет запуск и ведение проекта в области ИИ, в том числе планирование и контроль задач, оценку ресурсов","LC-7.1 Осуществляет выбор инструментов и инженерных практик промышленной разработки систем ИИ, развертывания и сопровождения моделей машинного обучения в продуктивной среде","AI S -1.1 Выявляет и моделирует угрозы на всём жизненном цикле ИИ-систем, оценивает и приоритизирует риски",AI S -1.2 Обеспечивает соответствие нормативным требованиям и принципам доверенного/этичного ИИ,LLM-5.1 Использует базовые шаблоны промптов,LLM-5.2 Встраивает промпты в пайплайн взаимодействия,LLM-5.3 Настраивает API для работы с LLM,LLM-5.4 Разрабатывает дизайн и структуру промптов,LLM-5.6 Анализирует и отлаживает промпты,LLM-3.7 Применяет мультимодальные промпты,FC-1.2 Разрабатывает новые архитектуры глубоких нейросетей,FC-1.3 Развивает методы ускорения обучения,FC-4.3 Разрабатывает системы гибридного искусственного интеллекта,FC-4.5 Разрабатывает системы вещественного ИИ (embodiment)
1,Психология профессионального саморазвития,,Б,Б,,,,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Философия,Б,,,,,Б,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Введение в искусственный интеллект,Б,Б,,,Б,,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Междисциплинарный проект 1,,,Б,Б,Б,,,,,,,,Б,,,,,Б,Б,,Б,,Б,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,Б,Б,Б,,,,
5,Междисциплинарный проект 2,,,Б,Б,Б,,,,,,,,Б,,,,,Б,Б,,Б,,Б,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,Б,Б,Б,,,,
6,Творческий проект,,,Б,Б,Б,,,,,,,,Б,Б,Б,,,Б,Б,,Б,,Б,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,Б,Б,Б,,,,
7,Школа ДС/ТОП ДС,,,Б,Б,,,Б,,,,,,Б,Б,Б,,,Б,П,П,П,П,П,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,Б,Б,Б,Б,Б,Б,Б
8,Производственная практика,,,Б,Б,,,Б,,,,,,Б,Б,Б,,,Б,П,П,П,П,П,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,Б,Б,Б,Б,Б,Б,Б
9,Высшая математика,,,,,,,,Б,Б,Б,Б,Б,,,,,,,,,,,,,,,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Алгоритмизация и программирование,,,,,,,,,,,,Б,,,,,,,,,,,,,Б,,,Б,,,,,,,,,,,Б,Б,Б,,,,,,,,,,,,,,,
11,Генеративный искусственный интеллект и машинное обучение,,,,,,,,,Б,,,,,,,,,,,,,,,Б,Б,,Б,Б,,,,,,,,,,,,,,,,,,,Б,Б,,Б,Б,Б,,,,
12,Python для научных вычислений и машинного обучения,,,,,,,,,,,,,,,,,,,,,,,,,Б,,,Б,,,,,П,П,П,П,,,,,,,,,,,,,,,,,,,,
13,Специальные разделы математики,,,,,,,,Б,Б,Б,Б,Б,,,,,,,,,,,,,Б,,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Базы данных и СУБД,,,,,,,,,,,,,,,,,,П,П,Б,Б,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Объектно-ориентированное программирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,Б,,,,,,,,,,,,,,,
16,Безопасность информационных технологий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Б,Б,,,,,,,,,,
17,Экономико-правовое обеспечение ИД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Б,,,,,,,,,,
18,Технологии хранения и обработки больших данных,,,,,,,,,,,,Б,Б,П,П,,,,П,П,П,П,П,,,П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Инструменты и инженерные практики  разработки систем ИИ,,,,,,,,,,,,,,,,,,П,П,,П,П,П,,,,,,,,,,,,,,,,,,,Б,П,П,,,,,,,,,,,,
20,Сбор и подготовка данных для задач искусственного интеллекта,,,,,,,,,,,,П,П,П,П,П,Б,,,Б,Б,Б,,,,П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Прикладные архитектуры глубоких нейронных сетей,,,,,,,,,,,,,,,,,,,,,,,,,,,,,П,П,П,П,,,,,,,,,,,,,,,,,,,,,,,,
22,Инфраструктура распределённых баз данных,,,,,,,,,,,,,,,,,П,П,П,П,П,П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Проектирование и поддержка архитектур AI/ML-систем ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,П,П,,,,,,,,,,,,,
24,Технологии разработки и проектирования приложений на Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,П,П,,,,,,,,,,,,,,,,,,
25,Технологии разработки веб-приложений с использованием Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,П,П,,,,,,,,,,,,,,,,,,